qid,question
17,"Nếu gần đến thời hạn Giấy chứng nhận hết hiệu lực, tổ chức doanh nghiệp muốn đăng ký tiếp thì phải làm gì?"
18,Hoạt động khuyến nông có những chính sách tuyên truyền nào?
19,Doanh nghiệp phải đáp ứng những điều kiện nào để được kinh doanh dịch vụ lữ hành quốc tế?
20,"Cơ quan nào có quyền cấp, cấp lại, điều chỉnh, thu hồi Giấy phép thành lập và hoạt động kinh doanh chứng khoán?"
21,Giấy chứng nhận Doanh nghiệp công nghệ cao có hiệu lực trong bao lâu?
22,"Thủ tục cấp giấy xác nhận đăng ký công cụ hỗ trợ đối với cơ quan, tổ chức ở trung ương ngoài phạm vi quản lý của Bộ Quốc phòng thực hiện như thế nào?"
23,Mức xử phạt đối với hành vi không đăng ký thay đổi nội dung đăng ký hành nghề luật sư với CQNN là bao nhiêu ?
24,"Trình tự, thủ tục cấp giấy phép cho doanh nghiệp hoạt động dịch vụ việc làm được quy định như thế nào?"
25,"Những giấy tờ nào được miễn hợp pháp hóa lãnh sự, chứng nhận lãnh sự?"
26,Không trả nợ đúng hạn có phải trả thêm tiền lãi không và nếu có thì mức trả là bao nhiêu?
27,Mặt trận Tổ quốc Việt Nam và cộng đồng có trách nhiệm thế nào đối với hoạt động đầu tư theo phương thức PPP?
28,"Đề nghị cho biết thời gian xem xét hồ sơ đề nghị cấp giấy phép cho hoạt động của phương tiện thủy nội địa, phương tiện cơ giới, trừ xe mô tô, xe gắn máy, phương tiện thủy nội địa thô sơ trong phạm vi bảo vệ công trình thủy lợi là bao nhiêu lâu?"
29,Đồ án quy hoạch chi tiết điểm dân cư nông thôn bao gồm các nội dung nào?
30,"Thẩm quyền, trách nhiệm giải quyết xuất ngũ và trách nhiệm của hạ sĩ quan, binh sĩ xuất ngũ được pháp luật quy định như thế nào?"
31,"Cách thức thực hiện xuất bản và phát hành xuất bản phẩm điện tử không kinh doanh được thực hiện như thế nào?  Đối với tài liệu điện tử dạng file PDF, thì cách tính phí thẩm định nội dung tài liệu để cấp phép như thế nào?"
32,Có phải niêm yết giá bán thuốc?
33,Chức năng bảo hộ lãnh sự của lãnh sự danh dự được quy định thế nào?
34,"Điều khiển xe máy kéo, xe chuyên dùng gắn biển số không đúng vị trí bị phạt bao nhiêu?"
35,"Để được cấp giấy phép tạm nhập, tái xuất theo hình thức khác thì hồ sơ cần những gì?"
36,Cho biết thành phần và số lượng hồ sơ cấp chứng chỉ hành nghề tư vấn về PCCC?
37,"Tôi đang làm việc tại nước ngoài, nay tôi muốn uỷ quyền cho người thân ở trong nước làm thủ tục bán nhà ở Việt Nam, tôi phải làm thế nào?"
38,"Đề nghị Quý cơ quan hướng dẫn về thủ tục điều chỉnh thiết kế, dự toán công trình lâm sinh đối với công trình lâm sinh thuộc dự án do UBND cấp tỉnh quyết định đầu tư"
39,Trộm điện thì xử phạt bao nhiêu?
40,Quản lý hoạt động dịch vụ việc làm tại trung tâm dịch vụ việc làm được quy định như thế nào?
41,"Những quy định chung về công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán Việt Nam gồm những gì?"
42,Mạng lưới độ cao quốc gia là gì?
43,Quy định về hồ sơ pháp lý của thuốc thử tương đương sinh học được quy định như thế nào?
44,Sau bao nhiêu ngày chúng tôi có thể nhận được kết quả thẩm định thiết kế?
45,Các dự án nào phải có tài liệu xác định địa điểm thực hiện dự án đầu tư?
46,Đối tượng được miễn sát hạch để xét cấp chứng chỉ hành nghề đo đạc và bản đồ?
47,Thẩm quyền chủ trì tổ chức giám định nguyên nhân sự cố công trình xây dựng được quy định như thế nào?
48,"Công ty chúng tôi đã được cấp Giấy phép XKLĐ, trong trường hợp nào chúng tôi phải làm thủ tục đổi giấy phép?"
49,Có được đăng ký dự tuyển cùng lúc học viện cảnh sát và đại học cảnh sát không?
50,"Trường hợp cấp nhanh số đăng ký lưu hành thì ngoài giấy chứng nhận lưu hành tự do, có thể thay thế bằng giấy tờ khác không? (ví dụ: đường link tra cứu giấy phép lưu hành của cơ sở có thẩm quyền nước ngoài)"
51,"Điều khiển xe máy sử dụng đèn chiếu xa trong đô thị, khu đông dân cư bị xử phạt bao nhiêu?"
52,Bắt giam đại biểu quốc hội có phải có sự đồng ý của Quốc hội không?
53,"Ngừng, giảm mức cung cấp điện không khẩn cấp trong những trường hợp nào?"
54,"Mức phạt nếu điều khiển xe ô tô, máy kéo đổ trái phép rác trong phạm vi đất dành cho đường bộ ở đoạn đường ngoài đô thị"
55,"Trong thời hạn bao nhiêu ngày  kể từ ngày nhận nhận đủ hồ sơ hợp lệ, Cơ quan Thanh tra, giám sát ngân hàng trình Thống đốc cấp lại Giấy chứng nhận cho Công ty thông tin tín dụng"
56,Trách nhiệm của cơ sở sản xuất nhập khẩu thuốc về việc kiểm nghiệm thuốc trước khi lưu hành được quy định như thế nào?
57,Những trường hợp nào xuất bản phẩm lưu chiểu sau khi thẩm định nội dung cần được tư vấn xử lý?
58,Nạn nhân bom mìn vật nổ sau chiến tranh là những ai?
59,Chế độ báo cáo của chủ đầu tư trong Bộ Quốc phòng được quy định như thế nào?
60,"Ông, bà có được nhận cháu làm con nuôi hay không? hoặc anh, chị, em có được nhận nhau làm con nuôi hay không?"
61,Muốn công bố đưa luồng hàng hải vào sử dụng cần các giấy tờ gì?
62,"Trình tự, thời hạn thành lập đơn vị tự vệ trong doanh nghiệp được quy định như thế nào?"
63,"Quy định chung về tính bình quân tiền lương tháng để tính hưởng lương hưu, trợ cấp một lần?"
64,Hộ kinh doanh được thăm dò khoáng sản làm vật liệu xây dựng thông thường thì phải đáp ứng điều kiện gì?
65,"Tổ chức, cá nhân nước ngoài nào được phép mang vũ khí thể thao vào, ra Việt Nam trong các trường hợp nào?"
66,Phân bổ và giao dự toán ngân sách nhà nước hỗ trợ phát triển nguồn nhân lực doanh nghiệp nhỏ và vừa được quy định như thế nào?
67,"Tôi mới lập Chi nhánh Trung tâm trọng tài, tôi muốn đăng ký hoạt động của Chi nhánh Trung tâm Trọng tài cần phải làm gì?"
68,Người sử dụng lao động có hành vi không thực hiện đối thoại khi đại diện tập thể lao động yêu cầu thì bị xử lý ra sao?
69,Mức phạt khi lùi xe ô tô không có tín hiệu báo trước là bao nhiêu?
70,"Cháu nội, cháu ngoại của người VN định cư ở nước ngoài có được cấp MTT?"
71,"Trách nhiệm của Cục An toàn thực phẩm trong giám sát đối với dịch bệnh, bệnh truyền nhiễm được quy định như thế nào?"
72,Sử dụng đơn thuốc ở phòng khám tư nhân để mua thuốc thì có được BHYT thanh toán?
73,Tôi là viên chức nhà nước thì tiền lương đóng bảo hiểm xã hội như thế nào?
74,Cơ quan quản lý nhà nước về khuyến nông có trách nhiệm gì?
75,"Thủ tục đề nghị trang bị vũ khí thể thao đối với cơ quan, tổ chức ở trung ương thì nộp ở đâu, thời hạn của giấy phép là bao nhiêu ngày?"
76,"Tổ chức, cá nhân nào có đủ điều kiện tham gia đấu giá quyền khai thác khoáng sản?"
77,Quy định về nội dung của giấy phép đối với các hoạt động trong phạm vi bảo vệ công trình thủy lợi?
78,"Mức phạt khi không tuân thủ các quy định về thực phẩm biến đổi gen, sinh vật biến đổi gen sử dụng làm thực phẩm được quy định như thế nào?"
79,"Đang đi nghĩa vụ Công an, tôi muốn xuất ngũ có được không?"
80,"Việc đặt tên chi nhánh, văn phòng đại diện như thế nào là phù hợp với quy định pháp luật hiện hành? Có thể sử dụng từ “công ty” để đặt tên chi nhánh, văn phòng đại diện hay không?"
81,Số NSNN đã tạm hỗ trợ lãi suất cao hơn số thẩm tra quyết toán của Bộ Tài chính thì số chênh lệch NH Nông nghiệp và Phát triển nông thôn phải xử lý như thế nào?
82,Nhân viên của tôi mang giấy chứng nhận đủ điều kiện về an ninh trật tự đi công chứng và làm mất. Vậy tôi phải làm gì để tiếp tục kinh doanh?
83,Rủ người khác đánh bạc phạt đến 10 triệu đồng phải không?
84,"UBND cấp tỉnh có trách nhiệm gì trong việc đánh giá, xếp loại Đơn vị học tập?"
85,"Trẻ em dưới 6 tuổi chưa được cấp thẻ bảo hiểm y tế thì cần xuất trình giấy tờ gì khi đi khám, chữa bệnh?"
86,"Cách tính tổng số năm đóng bảo hiểm vào quỹ bảo hiểm tai nạn lao động, bệnh nghề nghiệp được quy định cụ thể như thế nào?"
87,Công ty chúng tôi dự định thực hiện hoạt động gia công cho thương nhân nước ngoài và đang trong quá trình thương thảo hợp đồng trước khi thực hiện thủ tục hải quan nhập nguyên liệu. Chúng tôi muốn hỏi những mặt hàng nào được phép làm hoạt động gia công cho đối tác nước ngoài?
88,Chi đào tạo cho lưu học sinh không áp dụng với đối tượng học sinh nào?
89,"Việc thuê, mượn, nhập khẩu máy móc thiết bị của bên đặt gia công để thực hiện hợp đồng gia công được thực hiện như thế nào?"
90,Hồ sơ xin hưởng miễn trừ đối với thỏa thuận hạn chế cạnh tranh bao gồm những gì
91,"Tự ý đào, đắp, san, lấp mặt bằng trong hành lang an toàn đường bộ bị phạt bao nhiêu theo nghị định 100/2019/NĐ-CP?"
92,"Tôi muốn giám định vết thương còn sót, tôi cần thực hiện những thủ tục nào?"
93,Hồ sơ đề nghị áp dụng tỷ lệ dự trữ bắt buộc hỗ trợ của tổ chức tín dụng gồm những giấy tờ gì?
94,Chủ tịch UBND cấp huyện phải trực tiếp tiếp công dân bao nhiêu lần trong 1 tháng
95,Trường hợp phải đào cắt mặt đường để xây dựng công trình thiết yếu đi ngang qua đường bộ thì phải thực hiện những yêu cầu gì?
96,Những nội dung nào khi hành nghề đo đạc và bản đồ cần phải cấp chứng chỉ?
97,"Đề nghị cho biết  Hồ sơ đăng ký lưu hành thuốc thú y mới dạng dược phẩm, hoá chất, chế phẩm sinh học gồm những loại giấy tờ gì?"
98,Tham gia bảo hiểm chưa đủ một năm có rút được không?
99,Hệ thống thông tin báo cáo quốc gia là gì?
100,Tôi muốn được bổ nhiệm công chứng viên thì hồ sơ đề nghị bổ nhiệm gồm những giấy tờ gì và tôi phải nộp hồ sơ ở đâu?
101,"Các tiêu chí đánh giá về công tác phòng, chống tham nhũng?"
102,Mục tiêu của giáo dục thường xuyên được quy định như thế nào?
103,"Xin hỏi, điều kiện để cá nhân được cơ quan quản lý nhà nước cấp Giấy phép hoạt động dự báo, cảnh báo khí tượng thủy văn?"
104,Khu kinh tế cửa khẩu là gì?
105,Mức trợ cấp mai táng đối với người tham gia BHXH bắt buộc được quy định như thế nào?
106,Người áp dụng biện pháp cai nghiện bắt buộc bỏ trốn trở về không còn nghiện có phải đi cai nghiện nữa không?
107,"Trong hoạt động xây dựng, quy định về áp dụng Quy chuẩn, tiêu chuẩn kỹ thuật như thế nào?"
108,Mắt bị cận thị hoặc viễn thị có được tuyển vào Công an không?
109,Chiều rộng tối thiểu của hành lang căn hộ của chung cư theo phân hạng là bao nhiêu?
110,Cổng thông tin quốc gia về đầu tư nước ngoài là gì?
111,"Tôi muốn xóa đăng ký  quyền sở hữu tàu bay, hồ sơ đăng ký như thế nào?"
112,Mức phạt khi sử dụng chân để điều khiển vô lăng ô tô
113,Tôi cần những giấy tờ nào để xin xác nhận hàng năm Giấy chứng nhận phù hợp an ninh cảng thủy nội địa tiếp nhận PT thủy nước ngoài?
114,"Thủ tục chấp thuận thay đổi địa điểm đặt trụ sở của chi nhánh ngân hàng nước ngoài và sửa đổi, bổ sung Giấy phép đối với nội dung thay đổi địa điểm đặt trụ sở của chi nhánh ngân hàng nước ngoài do ai phê duyệt?"
115,"Tôi có con ngoài giá thú. Để nhận con tôi đã hoàn tất hồ sơ xin nhận cha, con theo hướng dẫn của cán bộ hộ tịch. Nhưng đến thời điểm tôi hoàn tất hồ sơ thì con tôi mất. Vậy tôi có được đăng ký nhận con tôi để con tôi được công nhận trong dòng họ không?"
116,Mức đóng bảo hiểm y tế của người lao động?
117,"Danh hiệu chính tại cuộc thi người đẹp, người mẫu được quy định như thế nào?"
118,Các mẫu vật nộp vào Bảo tàng Địa chất phải kèm theo thông tin gì?
119,Trường hợp cơ sở thẩm định điều kiện bảo đảm ATTP xếp hạng 4 (không đạt) sẽ xử lý như thế nào?
120,Xe đi làm nhiệm vụ trong tình trạng khẩn cấp là gì?
121,"Thời hạn giải quyết thủ tục đề nghị mua bán, chuyển nhượng phần vốn góp của chủ sở hữu của tổ chức tài chính vi mô là công ty trách nhiệm hữu hạn một thành viên là bao lâu?"
122,"Xe ô tô vận chuyển hành khách theo hợp đồng được đón, trả khách ngoài các địa điểm ghi trong hợp đồng khi nào?"
123,"Xác định khối lượng trong nghiệm thu, thanh toán và quyết toán hợp đồng thi công xây dựng được quy định như thế nào?"
124,Nguyên tắc lưu hành chế phẩm sinh học được quy định như thế nào?
125,"Tôi muốn được cấp giấy phép tạm xuất, tái nhập thì cần thực hiện những thủ tục/trình tự như thế nào?"
126,Đơn vị nhận báo cáo thống kê Ngành Thống kê gồm đơn vị nào?
127,Lệ phí cấp đổi giấy phép kinh doanh dịch vụ lữ hành quốc tế này là bao nhiêu?
128,Thẩm quyền phê duyệt phương án ứng phó với tình huống khẩn cấp hồ chứa thủy điện của UBND cấp xã là gì? 
129,Hồ sơ đề nghị chấp thuận thành lập phòng giao dịch của quỹ tín dụng nhân dân gồm những gì?
130,Trình tự thủ tục để rút tiền ký quỹ như thế nào?
131,"Theo quy định tại khoản 8 Điều 12 Nghị định số 114/2018/NĐ-CP của Chính phủ về quản lý an toàn đập, hồ chứa nước, đối với hồ chứa nước nhỏ, tổ chức, cá nhân trực tiếp khai thác phải lập quy trình vận hành và công bố công khai. Xin hỏi, đối với hồ chứa nước có dung tích <50.000 m3 không thuộc phạm vi điều chỉnh của Nghị định này thì có phải lập quy trình vận hành không?"
132,Người tố cáo có các quyền như thế nào?
133,Đối tượng nào không được đăng ký NVQS?
134,Luật sư không phải xuất trình CMND khi đăng ký bào chữa?
135,"Xin chủ trương bổ nhiệm công chức giữ chức vụ lãnh đạo, quản lý thuộc thẩm quyền quản lý của Bộ, ngành, địa phương được quy định như thế nào?"
136,Thực hiện thủ tục biên phòng điện tử cửa khẩu biên giới đất liền theo Cơ chế một cửa quốc gia được quy định như thế nào?
137,"Hủy bỏ mã số giao dịch chứng khoán của tổ chức, cá nhân đã được cấp mã số giao dịch chứng khoán trong những trường hợp nào?"
138,"Hồ sơ đề nghị cấp lại Giấy chứng nhận đủ điều kiện hoạt động thông tin tín dụng của công ty thông tin tín dụng trường hợp bị mất, bị cháy toàn bộ bao gồm những giấy tờ gì?"
139,"Kiểm tra, thông báo về hồ sơ, thu phí thẩm định báo cáo ĐTM được quy định như thế nào?"
140,Nguyên tắc bảo trì tài sản kết cấu hạ tầng thủy lợi được quy định như thế nào?
141,Xác định hành vi vi phạm quy định về thực hành tiết kiệm trong đầu tư xây dựng các dự án được quy định như thế nào?
142,Hồ sơ đề nghị cấp Mã số kinh doanh tạm nhập tái xuất hàng thực phẩm đông lạnh bao gồm những giấy tờ gì?
143,Bộ trưởng BQP có trách nhiệm gì trong trong việc tổ chức phong trào thi đua của Dân quân tự vệ được quy định như thế nào?
144,"Thành phần, Hồ sơ yêu cầu cấp Giấy chứng nhận đủ điều kiện hoạt động giám định quyền đối với giống cây trồng như thế nào? Cơ quan, tổ chức nào được chỉ định là nơi tiếp nhận và giải quyết hồ sơ?"
145,Cơ quan nào thực hiện thẩm quyền cấp phép thi công xây dựng công trình đường bộ trong phạm vi đất dành cho đường bộ?
146,Dự án đầu tư ra nước ngoài chấm dứt hiệu lực trong trường hợp nào?
147,Hồ sơ đề nghị thay đổi mức vốn điều lệ của ngân hàng hợp tác xã gồm những gì?
148,Trường hợp có từ 02 doanh nghiệp trở lên cùng đăng ký thực hiện dự án đầu tư theo quy định tại Nghị định 57/2018/NĐ-CP thì lựa chọn doanh nghiệp nào?
149,"Thủ tục cấp đổi giấy xác nhận đăng ký công cụ hỗ trợ đối với cơ quan, tổ chức ở địa phương ngoài phạm vi quản lý của Bộ Quốc phòng thực hiện như thế nào?"
150,Trung tâm sát hạch lái xe có trên 50% số máy tính sát hạch lý thuyết không bảo đảm điều kiện bị phạt bao nhiêu tiền?
151,Doanh nghiệp dịch vụ có doanh thu dưới 10 tỷ có phải doanh nghiệp siêu nhỏ?
152,Thời hạn giải quyết thủ tục cấp lại Giấy chứng nhận đủ điều kiện hành nghề tu bổ di tích được quy định trong bao lâu?
153,Ngân hàng giám sát có thể cung cấp dịch vụ lưu ký được không?
154,"Ông A đã hoàn tất thủ tục nhận con riêng của vợ làm con nuôi. Nay ông A có nguyện vọng thay đổi phần khai từ cha đẻ sang cha nuôi trong Giấy khai sinh của con nuôi (con nuôi hiện nay 10 tuổi), giữ nguyên phần khai về mẹ. Việc thay đổi phần khai về cha có được thực hiện trong trường hợp này không?"
155,Muốn đề nghị thiết lập kết cấu hạ tầng cảng biển tạm thời cần làm thủ tục ở đâu?
156,Quy định về điều kiện cấp Giấy chứng nhận khả năng chuyên môn thợ máy trực ca AB được quy định như thế nào?
157,"Những người làm công tác quản lý, viên chức làm việc trong các phòng, ban, văn phòng của Viện là Cử nhân sinh học, Cử nhân Hóa học, Kỹ sư nông nghiệp cũng làm ở những vị trí quản lý nói trên (cũng làm quản lý và trực tiếp làm công tác nghiên cứu dược) có được xét Thầy thuốc Ưu tú, Thầy thuốc Nhân dân không?"
158,Người dân có thuộc lực lượng chuyên trách trong việc bảo vệ rừng không?
159,"Tưới tiên tiến, tiết kiệm nước cho cây trồng là gì?"
160,"Tôi là thương binh, bị thương ở tai, do sức ép bom nay bị điếc không nghe thấy, nay tôi muốn được giám định lại vết thương ở tai để được nâng tỷ lệ thương tật. Xin hỏi hồ sơ, thủ tục như thế nào?"
161,Nguyên tắc thu phí dịch vụ thanh toán qua tài khoản tại Kho bạc Nhà nước được quy định như thế nào?
162,"Tổ chức, cá nhân cần nộp bao nhiêu bản xuất bản phẩm nhập khẩu không kinh doanh để cơ quan quản lý nhà nước tiến hành thẩm định nội dung?"
163,Thời hạn giải quyết hồ sơ công nhận kết quả bầu hòa giải viên?
164,"Điều kiện cho phép cá nhân trong nước, nước ngoài thực hiện khám bệnh, chữa bệnh nhân đạo là gì?"
165,"Trách nhiệm kiểm tra và đánh giá an toàn đập, hồ chứa nước thủy điện thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh được quy định như thế nào?"
166,"Những loài động vật hoang dã thuộc Danh mục thực vật rừng, động vật rừng nguy cấp, quý, hiếm ban hành kèm theo Nghị định số 06/2019/NĐ-CP đồng thời thuộc Danh mục loại thủy sản ban hành kèm theo Nghị định số 26/2019/NĐ-CP như: Ba ba gai, Ba ba nam bộ, Giải khổng lồ …., cơ quan có thẩm quyền cấp mã số cơ sở nuôi là cơ quan nào?"
167,"Cơ sở nuôi tôm của ông B chưa có chứng nhận VietGAP hoặc chưa được kiểm tra, xếp loại A hoặc loại B theo quy định của Thông tư số 45/2014/TT-BNNPTNT thì nội dung kiểm tra, đánh giá tại cơ sở để cấp GCN an toàn dịch bệnh cho cơ sở nuôi tôm của ông B là gì?"
168,Kinh phí đào tạo cử tuyển được quy định như thế nào?
169,Tôi muốn nộp đơn yêu cầu thi hành án có cần trực tiếp đến cơ quan THADS hay không?
170,Trường hợp 2 có từ hai nhà đầu tư trở lên cùng nộp hồ sơ đề xuất dự án PPP thì tiêu chí lựa chọn hồ sơ đề xuất dự án có tính khả thi và hiệu quả cao nhất gồm những nội dung nào?
171,"Điều kiện để được cấp chứng chỉ hành nghề tư vấn kiểm tra, kiểm định kỹ thuật về PCCC là gì?"
172,Trách nhiệm của Thanh tra Chính phủ về công tác giải quyết tố cáo trong Quân đội nhân dân được quy định như thế nào?
173,"Trong lĩnh vực hàng hóa, đo lường, dung môi được quy định là gì?"
174,Thời hạn hiệu lực quyết định công bố hoạt động bến thủy nội địa phục vụ thi công công trình chính được quy định như thế nào?
175,"Trong thời gian bao lâu sau khi hoàn thành xây dựng, CHKSB đã được cấp Giấy chứng nhận đăng ký tạm thời phải được đăng ký theo quy định tại Thông tư 17/2016/TT-BGTVT?"
176,Chuyển tiền thu từ chuyển nhượng vốn nhà nước được quy định như thế nào?
177,Điều khiển xe máy không có hệ thống hãm bị phạt bao nhiêu theo nghị định 100/2019/NĐ-CP?
178,Chuyên môn phù hợp khi xét chuyển đổi chứng chỉ hành nghề cho cá nhân nước ngoài được quy định như thế nào?
179,NLĐ chờ làm thủ tục hưởng BHTN có được tính tham gia BHYT không?
180,Quy định về Giấy chứng nhận huấn luyện nghiệp vụ cơ bản cấp cho thuyền viên được quy định như thế nào?
181,Làm thế nào để việc sử dụng chứng thư số nước ngoài có giá trị pháp lý tại Việt Nam?
182,"Khi có nhu cầu điều chỉnh điều chỉnh nội dung của quyết định chứng nhận chuẩn đo lường, Công ty chúng tôi phải làm gì?"
183,Chị ruột có thể đại diện cho người khuyết tật là em trai mình làm thủ tục cấp đổi không?
184,Đình chỉ hoạt động KCB do sai sót chuyên môn kỹ thuật trong quân đội được quy định như thế nào?
185,Đặt máy tuốt lúa trên đường bộ bị phạt bao nhiêu?
186,Xử lý vi phạm pháp luật về đê điều như thế nào?
187,Thẩm quyền phê duyệt phương án ứng phó với tình huống khẩn cấp hồ chứa thủy điện của UBND cấp huyện là gì? 
188,"Tài xế xe ô tô chở phế thải không chạy đúng tuyến, phạm vi, thời gian quy định có bị tước bằng lái không?"
189,Muốn thỏa thuận việc đầu tư xây dựng kết cấu hạ tầng cảng biển tạm thời cần thực hiện những thủ tục gì
190,"Việc sửa đổi, bổ sung, hủy bỏ hợp đồng, giao dịch đã được chứng thực được thực hiện khi nào?"
191,"Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được cấp theo quy định của Luật Đất đai năm 2013 có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?"
192,Xuất khẩu giống thủy sản được quy định như thế nào?
193,Sản phẩm động vật rừng có phải xác nhận bảng kê lâm sản không?
194,"Cơ quan tôi thuộc đối tượng được phép trang bị công cụ hỗ trợ, cho tôi hỏi hồ sơ đề nghị được trang bị công cụ hỗ trợ như thế nào?"
195,Văn bản thỏa thuận tham gia chương trình hưu trí bổ sung tự nguyện tại doanh nghiệp được quy định như thế nào?
196,Khi nào Bộ Tài chính cung cấp thông tin cho công dân qua mạng điện tử?
197,"Không bố trí người hướng dẫn, điều khiển giao thông khi thi công ở chỗ đường hẹp bị phạt bao nhiêu?"
198,Những trường hợp nào người lao động được ủy quyền cho người khác nộp hồ sơ đề nghị hưởng trợ cấp thất nghiệp hoặc gửi hồ sơ theo đường bưu điện?
199,"Hồ sơ cấp lại Giấy phép thu, chi ngoại tệ và các hoạt động ngoại hối khác (đối với doanh nghiệp kinh doanh trò chơi điện tử có thưởng dành cho người nước ngoài) gồm những gì?"
200,"Xin cho hỏi thời hạn thanh toán trực tiếp chi phí khám, chữa bệnh bảo hiểm y tế tại cơ quan bảo hiểm xã hội là bao lâu?"
201,Pháp luật về khoáng sản có quy định về điều kiện mà Công ty chúng tôi phải đáp ứng khi gia hạn Giấy phép khai thác khoáng sản không?
202,"Trình tự, thủ tục quyết định chủ trương đầu tư dự án thuộc thẩm quyền quyết định của Ủy ban nhân dân cấp tỉnh do nhà đầu tư đề xuất gồm những nội dung gì?"
203,"Điều kiện đối với người điều khiển phương tiện, người làm việc, người phục vụ trên phương tiện vận chuyển chất, hàng nguy hiểm cháy, nổ là gì?"
204,Mức phạt khi điều khiển xe ô tô đang chạy mà dùng tay sử dụng điện thoại là bao nhiêu?
205,Quy định về phương thức kiểm tra hoạt động đấu thầu trong lựa chọn nhà đầu tư được quy định như thế nào?
206,Trách nhiệm cung cấp thông tin liên quan đến tình hình sử dụng lao động của giám đốc doanh nghiệp được quy định như thế nào ?
207,"Tôi đã hiến bộ phận cơ thể và phải điều trị ngay sau khi hiến nhưng chưa được cấp thẻ bảo hiểm y tế. Tôi phải thực hiện thủ tục gì để được hưởng quyền lợi khám, chữa bệnh bảo hiểm y tế?"
208,"Trình tự, thủ tục chấm dứt hoạt động bán hàng đa cấp trong trường hợp doanh nghiệp tự chấm dứt hoạt động bán hàng đa cấp như thế nào?"
209,Ngân hàng Nhà nước quy  định như thế nào về hồ sơ đề nghị vay có bảo đảm bằng cầm cố giấy tờ có giá?
210,Tôi là luật sư nước ngoài đã được cấp Giấy phép hành nghề luật sư tại Việt Nam thì thủ tục xin cấp Chứng chỉ hành nghề Quản tài viên như thế nào?
211,Có phải lập tiến độ thi công xây dựng trước khi triển khai thi công hay không?
212,Người đánh giá nghiệp vụ đăng kiểm viên xe cơ giới được quy định như thế nào?
213,"Đội khám bệnh, chữa bệnh chữ thập đỏ lưu động là gì?"
214,Giám sát nghiên cứu y sinh học là gì?
215,Trách nhiệm của hành khách khi sử dụng phương tiện vận tải hành khách ngang sông được quy định như thế nào?
216,Trường hợp nào tổ chức cung cấp dịch vụ chứng thực chữ ký số công cộng được thay đổi nội dung giấy phép?
217,Thời gian khóa học và thời gian tổ chức giảng dạy từ xa trình độ cao đẳng được quy định như thế nào?
218,Hồ sơ đề nghị chấm dứt hoạt động kinh doanh dịch vụ lữ hành gồm những gì trong trường hợp doanh nghiệp phá sản?
219,Có bị phạt tiền với hành vi không cung cấp thông tin cần thiết liên quan đến việc sử dụng dịch vụ viễn thông cho người sử dụng dịch vụ không?
220,Y sĩ có được kê đơn thuốc cho bệnh nhân không?
221,Trường hợp doanh nghiệp được cấp giấy phép kinh doanh dịch vụ viễn thông đề nghị gia hạn giấy phép thì thời hạn gia hạn của giấy phép kinh doanh dịch vụ viễn thông có thời hạn là bao nhiêu?
